feature,importance
feature_143,0.0001400833022396769
feature_234,0.00013967636833393723
feature_314,0.00013963425901146234
feature_288,0.00013951276881857564
feature_49,0.00013945989985246872
feature_141,0.00013922481157206928
feature_400,0.0001383450586727025
feature_28,0.00013823077106396074
feature_321,0.00013822650341280024
feature_148,0.00013794579446209086
feature_306,0.00013770719880878472
feature_202,0.0001375414703147115
feature_99,0.00013734129887099119
feature_209,0.00013698494409578767
feature_53,0.000136478125037915
feature_297,0.0001363004608247284
feature_188,0.00013621506662099783
feature_279,0.00013550950825368823
feature_80,0.00013528941416688782
feature_107,0.00013485898763108232
feature_161,0.0001343728368593045
feature_231,0.0001342658508127929
feature_69,0.0001333021088135359
feature_70,0.0001329657068314916
feature_224,0.00013255249311395963
feature_197,0.00013189090041348229
feature_37,0.00013171922389214303
feature_55,0.00013156496561251646
feature_123,0.00013138475094309676
feature_302,0.0001305877706938801
feature_139,0.00013000504195519164
feature_268,0.00012962288064996997
feature_292,0.00012947163013713752
feature_252,0.00012946148802907108
feature_286,0.00012847599938189665
feature_118,0.0001283652425263126
feature_82,0.00012813325647395468
feature_125,0.00012803198992071037
feature_312,0.00012795382470446638
feature_169,0.00012760328579425228
feature_162,0.00012758241931841452
feature_222,0.00012738657836818364
feature_227,0.00012712796192767206
feature_366,0.0001269888919827501
feature_352,0.00012698668497625935
feature_204,0.00012662516134458293
feature_349,0.00012626705245310488
feature_347,0.000125938586364943
feature_341,0.0001256974617072443
feature_310,0.00012567822654750897
feature_132,0.00012552876796874084
feature_305,0.00012532692289666551
feature_166,0.00012518804739923228
feature_39,0.00012502121577412451
feature_278,0.000124260669667063
feature_66,0.0001242247264362664
feature_364,0.0001240855139665779
feature_81,0.00012373946462440846
feature_105,0.00012325060793559847
feature_119,0.00012292260682361694
feature_189,0.00012262211012977923
feature_385,0.00012238316968223617
feature_315,0.00012228522473745887
feature_97,0.0001221819026619569
feature_115,0.00012216997704094992
feature_57,0.00012165102717073279
feature_192,0.00012142499034405742
feature_221,0.00012134227901900673
feature_140,0.00012116857710954569
feature_101,0.00012115885816414574
feature_110,0.0001209843107437738
feature_211,0.00012078702315127896
feature_104,0.00012063113288830338
feature_337,0.00012012424581556229
feature_44,0.00011995506502875202
feature_363,0.00011983516378555719
feature_208,0.00011982169151078053
feature_92,0.00011955593734515202
feature_26,0.00011950003922397417
feature_134,0.00011942131670474929
feature_153,0.00011923366525541165
feature_154,0.00011916565898025348
feature_390,0.00011866270330931616
feature_294,0.00011844251403111225
feature_75,0.00011835380702564321
feature_273,0.00011786371342246143
feature_43,0.00011781156241242199
feature_235,0.00011747414662967418
feature_30,0.00011684253062022184
feature_183,0.00011657281876161643
feature_336,0.0001155733482420316
feature_65,0.00011552575494524678
feature_74,0.00011535878038801849
feature_109,0.00011467743402601263
feature_370,0.00011458278880010417
feature_68,0.00011365155814520415
feature_257,0.0001135782831080548
feature_175,0.00011342876054143883
feature_246,0.00011323120371342871
feature_284,0.00011230063300190281
feature_4,0.00011212302838391617
feature_236,0.00011199920492404633
feature_320,0.0001118573668022101
feature_371,0.00011149322044082091
feature_112,0.00011112996017849466
feature_303,0.00011110402006575126
feature_182,0.0001110350277234551
feature_353,0.00011083101435664632
feature_195,0.00011061488127132058
feature_108,0.00011057280498490668
feature_205,0.00011040445123365501
feature_94,0.0001099822089432506
feature_340,0.00010994839769607986
feature_262,0.0001096371436966935
feature_114,0.00010939327797187188
feature_27,0.00010923797084887322
feature_323,0.00010765348855591608
feature_317,0.00010760152526350472
feature_365,0.00010718460666780662
feature_361,0.00010687084229383148
feature_14,0.00010673383908476694
feature_219,0.00010672421788263806
